locId,projectName,promotorName,projectCost,projectType,processType,promotorType,projectStatus,address,subDistrictCode,subDistrictName,districtCode,districtName,waterLevel,projectId,status,coordinates,centroid
10668,Vishwanath Sarathya West,Vishwanath Builders through Prop Hitesh R Vyas,3340600000,Mixed Development,REG, ,New Project Launch,"Plot No.15, N. D. Avenue, Opp. Vishwanath Sarathya, VIP Road,Shela,", ,Sanand,AHME,Ahmedabad, ,17230,SAVED,"[{""locId"": 73027, ""lat"": ""23.013230740013327"", ""lang"": ""72.45470018887328""}, {""locId"": 73028, ""lat"": ""23.013052990303677"", ""lang"": ""72.4550649692993""}, {""locId"": 73029, ""lat"": ""23.012973990357526"", ""lang"": ""72.45508642697142""}, {""locId"": 73030, ""lat"": ""23.012885115362817"", ""lang"": ""72.45503278279112""}, {""locId"": 73031, ""lat"": ""23.012786365300016"", ""lang"": ""72.455011325119""}, {""locId"": 73032, ""lat"": ""23.012717240213043"", ""lang"": ""72.45500059628294""}, {""locId"": 73033, ""lat"": ""23.01262836504917"", ""lang"": ""72.45498986744688""}, {""locId"": 73034, ""lat"": ""23.012559239881238"", ""lang"": ""72.45493622326659""}, {""locId"": 73035, ""lat"": ""23.01249011467788"", ""lang"": ""72.45493622326659""}, {""locId"": 73036, ""lat"": ""23.01295424036376"", ""lang"": ""72.45458217167662""}, {""locId"": 73037, ""lat"": ""23.01285549035157"", ""lang"": ""72.45459290051268""}, {""locId"": 73038, ""lat"": ""23.01240123936437"", ""lang"": ""72.45502205395506""}, {""locId"": 73039, ""lat"": ""23.012272863808153"", ""lang"": ""72.4551186134796""}, {""locId"": 73040, ""lat"": ""23.012243238662442"", ""lang"": ""72.4551722576599""}, {""locId"": 73041, ""lat"": ""23.012213613510237"", ""lang"": ""72.45529027485655""}, {""locId"": 73042, ""lat"": ""23.012183988351513"", ""lang"": ""72.45537610554503""}, {""locId"": 73043, ""lat"": ""23.012154363186294"", ""lang"": ""72.4554082920532""}, {""locId"": 73044, ""lat"": ""23.012085237775473"", ""lang"": ""72.4554082920532""}, {""locId"": 73045, ""lat"": ""23.012025987395145"", ""lang"": ""72.4554082920532""}, {""locId"": 73046, ""lat"": ""23.011957400982574"", ""lang"": ""72.45539756321715""}, {""locId"": 73047, ""lat"": ""23.01281289731882"", ""lang"": ""72.45460646596528""}, {""locId"": 73048, ""lat"": ""23.01253639681278"", ""lang"": ""72.45453136411287""}, {""locId"": 73049, ""lat"": ""23.01249689669423"", ""lang"": ""72.45452063527681""}, {""locId"": 73050, ""lat"": ""23.012487021662775"", ""lang"": ""72.45449917760469""}, {""locId"": 73051, ""lat"": ""23.01187476830133"", ""lang"": ""72.45541112866975""}, {""locId"": 73052, ""lat"": ""23.011825392909156"", ""lang"": ""72.4553467556534""}, {""locId"": 73053, ""lat"": ""23.01211176993217"", ""lang"": ""72.45420949903108""}, {""locId"": 73054, ""lat"": ""23.012516646754946"", ""lang"": ""72.45446699109651""}, {""locId"": 73055, ""lat"": ""23.012980772349547"", ""lang"": ""72.45460646596528""}, {""locId"": 73056, ""lat"": ""23.013000522339418"", ""lang"": ""72.45461719480134""}, {""locId"": 73057, ""lat"": ""23.013016116163623"", ""lang"": ""72.45465785238248""}]","[23.012526807295135, 72.45493577261092]"
10972,AVADH ERCOLE,AVADH INFRABUILD ,5762900000,Residential/Group Housing,REG,Partnership Firm,New Project Launch,"T.P.S. NO: 26 (ABHVA), F.P. NO: 84 + 85/1 + 92 + 93 + 94, O.P. NO : 84 + 85/1 + 92 + 93 + 94BLOCK NO.394,389,393+395/1+,395/2,396 AT : ABHVA, TA : MAJURA, DIST : SURAT ", ,Chorasi,SURAT,Surat, ,17644,SAVED,"[{""locId"": 74914, ""lat"": ""21.12722824500599"", ""lang"": ""72.77466765715857""}, {""locId"": 74915, ""lat"": ""21.12722824500599"", ""lang"": ""72.77466765715857""}, {""locId"": 74916, ""lat"": ""21.126430131261518"", ""lang"": ""72.77472398354789""}, {""locId"": 74917, ""lat"": ""21.126342563661257"", ""lang"": ""72.77420095278998""}, {""locId"": 74918, ""lat"": ""21.125564460713434"", ""lang"": ""72.7742411859252""}, {""locId"": 74919, ""lat"": ""21.125564460713434"", ""lang"": ""72.77254871203681""}, {""locId"": 74920, ""lat"": ""21.127045604935677"", ""lang"": ""72.77307442500373""}, {""locId"": 74921, ""lat"": ""21.12722824500599"", ""lang"": ""72.77464619948645""}]","[21.126578994537912, 72.7740963466384]"
13910,Survi Pristine, ,2968880000,Mixed Development,REG, ,New,"Survi Pristine, Opp. Banker's Heart Hospital, ", ,Vadodara,VADO,Vadodara, ,17670,SAVED,"[{""locId"": 93324, ""lat"": ""22.261838478516147"", ""lang"": ""73.1944724625656""}, {""locId"": 93325, ""lat"": ""22.26297039507095"", ""lang"": ""73.1948157853195""}, {""locId"": 93326, ""lat"": ""22.263039898420743"", ""lang"": ""73.19444027605742""}, {""locId"": 93327, ""lat"": ""22.26358599496813"", ""lang"": ""73.19433298769682""}, {""locId"": 93328, ""lat"": ""22.263407272696277"", ""lang"": ""73.19347468081206""}, {""locId"": 93329, ""lat"": ""22.26298032412303"", ""lang"": ""73.19354978266448""}, {""locId"": 93330, ""lat"": ""22.26298032412303"", ""lang"": ""73.19336739245146""}, {""locId"": 93331, ""lat"": ""22.261788832843674"", ""lang"": ""73.19317427340239""}]","[22.26282394009525, 73.19395345512122]"
11067,IKEBANA,Nemi Landmarks Private Limited,5485490000,Residential/Group Housing,REG,Company,New Project Launch,"Ikebana, Beside courtyard marriott, Sindhu Bhavan Road, Bodakdev,", ,Daskroi,AHME,Ahmedabad, ,17770,SAVED,"[{""locId"": 75487, ""lat"": ""23.0395357187327"", ""lang"": ""72.50419401928497""}, {""locId"": 75488, ""lat"": ""23.039874693051598"", ""lang"": ""72.50355833574844""}, {""locId"": 75489, ""lat"": ""23.03981792314122"", ""lang"": ""72.50466340586257""}, {""locId"": 75490, ""lat"": ""23.039136408090236"", ""lang"": ""72.50458293959213""}, {""locId"": 75491, ""lat"": ""23.039195646556706"", ""lang"": ""72.50344031855178""}, {""locId"": 75492, ""lat"": ""23.03987935530532"", ""lang"": ""72.5035341958673""}]","[23.039573290812964, 72.50399553581786]"
11086,RIVIERA MAJESTICA,SAFAL GOYAL REALTY LLP,5107200000,Residential/Group Housing,REG,Limited Liability Partnership,New Project Launch,"SKYCITY, NEAR CLUB 07,S.P.RING ROADBLOCK NOS.215,251,305,306, F.P NO. 21, TP SCHME NO .  1(SHELA)", ,Sanand,AHME,Ahmedabad, ,17797,SAVED,"[{""locId"": 75666, ""lat"": ""23.006757138219523"", ""lang"": ""72.46242771152305""}, {""locId"": 75667, ""lat"": ""23.005863406925773"", ""lang"": ""72.46243307594108""}, {""locId"": 75668, ""lat"": ""23.005863406925773"", ""lang"": ""72.4611938953762""}, {""locId"": 75669, ""lat"": ""23.00710771628186"", ""lang"": ""72.46115098003196""}, {""locId"": 75670, ""lat"": ""23.006767013670363"", ""lang"": ""72.46240625385093""}]","[23.006471736404656, 72.46192238334464]"
11087,MARINA,SAVVY ATS REALTY LLP,2927520000,Mixed Development,REG,Limited Liability Partnership,New Project Launch,GIFT SEZ AT GIFT CITYBLOCK-ID 16-E BLOCK - 16 ZONE-1, ,Gandhinagar,GANDHI,Gandhinagar, ,17798,SAVED,"[{""locId"": 75671, ""lat"": ""23.159939888713172"", ""lang"": ""72.68167818148446""}, {""locId"": 75672, ""lat"": ""23.15982028517324"", ""lang"": ""72.68220121224236""}, {""locId"": 75673, ""lat"": ""23.159631631949857"", ""lang"": ""72.68239030797791""}, {""locId"": 75674, ""lat"": ""23.1592259649682"", ""lang"": ""72.68254453499627""}, {""locId"": 75675, ""lat"": ""23.15901881539731"", ""lang"": ""72.68208453615021""}, {""locId"": 75676, ""lat"": ""23.159615602578757"", ""lang"": ""72.68159100969147""}, {""locId"": 75677, ""lat"": ""23.15993495661055"", ""lang"": ""72.68167684037995""}]","[23.159598163627297, 72.68202380327467]"
11157,Aranyam,Aaryan Build Projects LLP,6332300000,Residential/Group Housing,REG,Limited Liability Partnership,New Project Launch,"F.P.No. 102/1, Sub Plot No.1, Nr. Aaryman ResidencyKalhar Bungalow Road, Shilaj", ,Ahmedabad City,AHME,Ahmedabad, ,17909,SAVED,"[{""locId"": 76084, ""lat"": ""23.056025313383767"", ""lang"": ""72.46407477502432""}, {""locId"": 76085, ""lat"": ""23.055660054741324"", ""lang"": ""72.4660703385314""}, {""locId"": 76086, ""lat"": ""23.056528776374506"", ""lang"": ""72.46609179620351""}, {""locId"": 76087, ""lat"": ""23.057106275721594"", ""lang"": ""72.46617762689199""}, {""locId"": 76088, ""lat"": ""23.05712601924522"", ""lang"": ""72.46585039739217""}, {""locId"": 76089, ""lat"": ""23.056578135389888"", ""lang"": ""72.4657645667037""}, {""locId"": 76090, ""lat"": ""23.056607750790423"", ""lang"": ""72.46464340333547""}, {""locId"": 76091, ""lat"": ""23.05643005828944"", ""lang"": ""72.46406404618826""}, {""locId"": 76092, ""lat"": ""23.056045057065933"", ""lang"": ""72.46406404618826""}, {""locId"": 76093, ""lat"": ""23.056030249304577"", ""lang"": ""72.46406404618826""}, {""locId"": 76094, ""lat"": ""23.056024079403535"", ""lang"": ""72.46406806950178""}, {""locId"": 76095, ""lat"": ""23.056029015324395"", ""lang"": ""72.4640720928153""}, {""locId"": 76096, ""lat"": ""23.056029015324395"", ""lang"": ""72.46407343391981""}, {""locId"": 76097, ""lat"": ""23.056019143482494"", ""lang"": ""72.46407745723333""}]","[23.05630278170296, 72.46479686400839]"
11233,RATNAM PARK VIEW,SHRI RAM CORPORATION,10113600000,Residential/Group Housing,REG,Partnership Firm,New Project Launch,"SHRI RAM CORPORATION, BEHIND SHAKTI GREENSOPP. SYNOVE EMPERORS, VASNA BHAYALI ROAD", ,Vadodara,VADO,Vadodara, ,18005,SAVED,"[{""locId"": 76572, ""lat"": ""22.28895089399491"", ""lang"": ""73.13706167136081""}, {""locId"": 76573, ""lat"": ""22.289040238841004"", ""lang"": ""73.13791729603656""}, {""locId"": 76574, ""lat"": ""22.289707841577695"", ""lang"": ""73.13791729603656""}, {""locId"": 76575, ""lat"": ""22.289933684160864"", ""lang"": ""73.1372226039017""}, {""locId"": 76576, ""lat"": ""22.290191789523366"", ""lang"": ""73.13683100138553""}, {""locId"": 76577, ""lat"": ""22.290236461556958"", ""lang"": ""73.13677467499622""}, {""locId"": 76578, ""lat"": ""22.290201716643185"", ""lang"": ""73.13632942829975""}, {""locId"": 76579, ""lat"": ""22.289395135860094"", ""lang"": ""73.13640989457019""}, {""locId"": 76580, ""lat"": ""22.289412508418312"", ""lang"": ""73.13699193392642""}, {""locId"": 76581, ""lat"": ""22.288943753784174"", ""lang"": ""73.13706587555457""}]","[22.289601402436055, 73.13705216760683]"
11320,SHILP RESIDENCY,SHILP INFRAPROJECTS LLP,4294440000,Mixed Development,REG,Limited Liability Partnership,New Project Launch,"SHILP RESIDENCYB/H OLIVE GREENS, NR. GOTA CROSS ROADS, GOTA", ,Ahmedabad City,AHME,Ahmedabad, ,18120,SAVED,"[{""locId"": 77145, ""lat"": ""23.103991485767164"", ""lang"": ""72.53512043143192""}, {""locId"": 77146, ""lat"": ""23.102824551764847"", ""lang"": ""72.53472346449772""}, {""locId"": 77147, ""lat"": ""23.10251046408635"", ""lang"": ""72.5359277763454""}, {""locId"": 77148, ""lat"": ""23.10369713750388"", ""lang"": ""72.53630328560749""}, {""locId"": 77149, ""lat"": ""23.103990720369772"", ""lang"": ""72.53512579584995""}]","[23.103402871898403, 72.5354401507465]"
11501, The West Park,Adani Estate Management Private Limited,2930020000,Residential/Group Housing,REG,Company,New Project Launch,VILLAGE DANTALISHANTIGRAM TOWNSHIP , ,Gandhinagar,GANDHI,Gandhinagar, ,18385,SAVED,"[{""locId"": 78233, ""lat"": ""23.16809571893722"", ""lang"": ""72.52954881501121""}, {""locId"": 78234, ""lat"": ""23.168675204437285"", ""lang"": ""72.52993371200485""}, {""locId"": 78235, ""lat"": ""23.168234375596626"", ""lang"": ""72.53091427783401""}, {""locId"": 78236, ""lat"": ""23.16791504135646"", ""lang"": ""72.5317766080323""}, {""locId"": 78237, ""lat"": ""23.167913808404247"", ""lang"": ""72.53192278842361""}, {""locId"": 78238, ""lat"": ""23.16768324614135"", ""lang"": ""72.53193083505066""}, {""locId"": 78239, ""lat"": ""23.168011211593875"", ""lang"": ""72.53264966706665""}, {""locId"": 78240, ""lat"": ""23.16805559783401"", ""lang"": ""72.53288838366898""}, {""locId"": 78241, ""lat"": ""23.167869422117114"", ""lang"": ""72.5329111824456""}, {""locId"": 78242, ""lat"": ""23.16785832554304"", ""lang"": ""72.53374266724022""}, {""locId"": 78243, ""lat"": ""23.167087255640457"", ""lang"": ""72.53371035231936""}, {""locId"": 78244, ""lat"": ""23.1671082159559"", ""lang"": ""72.53326376451838""}, {""locId"": 78245, ""lat"": ""23.1671180796326"", ""lang"": ""72.53310283197749""}, {""locId"": 78246, ""lat"": ""23.1671057500366"", ""lang"": ""72.53279437794077""}, {""locId"": 78247, ""lat"": ""23.167079857881305"", ""lang"": ""72.53264417423594""}, {""locId"": 78248, ""lat"": ""23.167030539476404"", ""lang"": ""72.53201385511744""}, {""locId"": 78249, ""lat"": ""23.16710944891551"", ""lang"": ""72.53094948886279""}, {""locId"": 78250, ""lat"": ""23.16729439273125"", ""lang"": ""72.53070809005145""}, {""locId"": 78251, ""lat"": ""23.16744234759989"", ""lang"": ""72.53061957715396""}, {""locId"": 78252, ""lat"": ""23.167592768215407"", ""lang"": ""72.53046669124011""}, {""locId"": 78253, ""lat"": ""23.167716063675872"", ""lang"": ""72.53023602126483""}, {""locId"": 78254, ""lat"": ""23.16779373975767"", ""lang"": ""72.53007911203746""}, {""locId"": 78255, ""lat"": ""23.16789607484424"", ""lang"": ""72.52991147397402""}, {""locId"": 78256, ""lat"": ""23.168096100981874"", ""lang"": ""72.52955123078151""}]","[23.167657607804426, 72.53159458242725]"
